sensor_id,timestamp,value,unit
1,2025-05-27T22:26:31.596345,10,°C
1,2025-05-27T22:26:32.597361,95.7,%
1,2025-05-27T22:26:32.621475,10,°C
1,2025-05-27T22:26:33.598558,83.0,%
1,2025-05-27T22:26:33.598801,1050.0,hPa
1,2025-05-27T22:26:33.622140,10,°C
1,2025-05-27T22:26:34.599770,861.1,lx
1,2025-05-27T22:26:34.599914,998.6,hPa
1,2025-05-27T22:26:34.600037,75.8,%
1,2025-05-27T22:26:34.622957,8,°C
1,2025-05-27T22:26:35.600667,967.6,hPa
1,2025-05-27T22:26:35.600819,766.6,lx
1,2025-05-27T22:26:35.600900,85.9,%
1,2025-05-27T22:26:35.623721,11,°C
1,2025-05-27T22:26:36.601296,1003.3,hPa
1,2025-05-27T22:26:36.601793,786.5,lx
1,2025-05-27T22:26:36.602030,80.4,%
1,2025-05-27T22:26:36.624734,11,°C
1,2025-05-27T22:26:37.602301,1034.2,hPa
1,2025-05-27T22:26:37.602881,74.4,%
1,2025-05-27T22:26:37.603178,926.7,lx
1,2025-05-27T22:26:37.625536,11,°C
1,2025-05-27T22:26:38.603353,1021.7,hPa
1,2025-05-27T22:26:38.603877,624.9,lx
1,2025-05-27T22:26:38.603965,85.2,%
1,2025-05-27T22:26:38.626401,7,°C
1,2025-05-27T22:26:39.604177,1038.9,hPa
1,2025-05-27T22:26:39.604752,784.3,lx
1,2025-05-27T22:26:39.606461,88.1,%
1,2025-05-27T22:26:39.631109,8,°C
1,2025-05-27T22:26:40.605563,997.6,hPa
1,2025-05-27T22:26:40.605695,734.3,lx
1,2025-05-27T22:26:40.608400,83.6,%
1,2025-05-27T22:26:40.636004,10,°C
1,2025-05-27T22:26:41.606526,657.8,lx
1,2025-05-27T22:26:41.606663,1000.2,hPa
1,2025-05-27T22:26:41.610094,100.0,%
1,2025-05-27T22:26:41.636890,7,°C
1,2025-05-27T22:26:42.607655,892.0,lx
1,2025-05-27T22:26:42.607834,1046.3,hPa
1,2025-05-27T22:26:42.610993,76.9,%
1,2025-05-27T22:26:42.638155,8,°C
1,2025-05-27T22:26:43.608640,867.3,lx
1,2025-05-27T22:26:43.609153,980.4,hPa
1,2025-05-27T22:26:43.611708,95.9,%
1,2025-05-27T22:26:43.639331,8,°C
1,2025-05-27T22:26:44.609411,672.2,lx
1,2025-05-27T22:26:44.609950,1047.5,hPa
1,2025-05-27T22:26:44.612698,93.6,%
1,2025-05-27T22:26:44.640225,6,°C
1,2025-05-27T22:26:45.610081,826.8,lx
1,2025-05-27T22:26:45.611841,976.7,hPa
1,2025-05-27T22:26:45.613198,95.1,%
1,2025-05-27T22:26:45.641363,8,°C
1,2025-05-27T22:26:46.610865,751.7,lx
1,2025-05-27T22:26:46.612683,1019.1,hPa
1,2025-05-27T22:26:46.613788,78.5,%
1,2025-05-27T22:26:46.642101,6,°C
1,2025-05-27T22:26:47.646546,624.3,lx
1,2025-05-27T22:26:47.646744,90.8,%
1,2025-05-27T22:26:47.647257,981.8,hPa
1,2025-05-27T22:26:47.647573,11,°C
1,2025-05-27T22:26:48.647304,851.9,lx
1,2025-05-27T22:26:48.648149,972.0,hPa
1,2025-05-27T22:26:48.648287,8,°C
1,2025-05-27T22:26:48.648727,87.7,%
1,2025-05-27T22:26:49.647948,672.1,lx
1,2025-05-27T22:26:49.648948,1020.4,hPa
1,2025-05-27T22:26:49.649175,10,°C
1,2025-05-27T22:26:49.649428,100.0,%
1,2025-05-27T22:26:50.648950,666.2,lx
1,2025-05-27T22:26:50.650052,8,°C
1,2025-05-27T22:26:50.650931,82.3,%
1,2025-05-27T22:26:50.651750,1048.9,hPa
1,2025-05-27T22:26:51.649634,638.3,lx
1,2025-05-27T22:26:51.651621,7,°C
1,2025-05-27T22:26:51.652119,84.2,%
1,2025-05-27T22:26:51.652664,1016.6,hPa
1,2025-05-27T22:26:52.651142,997.8,lx
1,2025-05-27T22:26:52.652144,11,°C
1,2025-05-27T22:26:52.652646,97.2,%
1,2025-05-27T22:26:52.653180,1025.3,hPa
1,2025-05-27T22:26:53.651731,604.5,lx
1,2025-05-27T22:26:53.652808,9,°C
1,2025-05-27T22:26:53.653682,82.2,%
1,2025-05-27T22:26:53.656297,1048.7,hPa
1,2025-05-27T22:26:54.658001,76.5,%
1,2025-05-27T22:26:54.658394,7,°C
1,2025-05-27T22:26:54.681728,596.1,lx
1,2025-05-27T22:26:54.683534,1033.4,hPa
1,2025-05-27T22:26:55.659093,84.8,%
1,2025-05-27T22:26:55.685063,1017.9,hPa
1,2025-05-27T22:26:55.688634,932.8,lx
1,2025-05-27T22:26:56.689388,809.1,lx
